"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Bangladesh","Adults (15-49) estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) lower estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Bangladesh","Adults (15-49) upper estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Bangladesh","Adults (15-49) upper estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Bangladesh","Adults (15-49) upper estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Bangladesh","Adults (15-49) upper estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Bangladesh","Adults (15-49) upper estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Bangladesh","Adults (15-49) upper estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Bangladesh","Adults (15-49) upper estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Bangladesh","Adults (15-49) upper estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Bangladesh","Adults (15-49) upper estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Bangladesh","Adults (15-49) upper estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Bangladesh","Adults (15-49) upper estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0.03",""
"Bangladesh","Adults (15-49) upper estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0.09",""
"Bangladesh","Adults (15-49) upper estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) upper estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0",""
